COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
48,0,-51.69,-94.042,-99.289,-112.819,-226.99,-102.598,-98.278,-324.584,21.265,-170.917,-110.951,-32.018,-55.29,-142.634,-229.185,-158.215,-164.338,-93.035,-73.323,-55.177,-33.392,12.697,-83.036,-31.03,-66.939,65.257,-143.779,-67.494,-91.394,-145.218,-365.5,-188.356,3968.0,0.0,0.0,0,1688564518.5308,2023-07-05 15:41:58,Rest
49,0,-48.053,-88.824,-95.092,-113.219,-226.251,-94.811,-93.569,-322.21,25.855,-169.721,-104.18,-29.937,-43.451,-137.88,-224.857,-151.397,-168.272,-93.967,-68.639,-52.56,-33.871,15.758,-77.83,-27.926,-66.36,65.704,-140.049,-65.889,-86.692,-140.974,-362.573,-183.045,3968.0,0.0,0.0,0,1688564518.5387,2023-07-05 15:41:58,Rest
50,0,-44.931,-86.174,-93.46,-110.032,-225.512,-93.179,-91.426,-318.302,30.44,-164.941,-104.589,-28.37,-41.871,-139.279,-230.78,-158.418,-163.493,-93.873,-70.619,-59.68,-35.886,19.329,-77.752,-26.873,-67.318,63.077,-136.835,-66.336,-87.118,-138.784,-354.526,-182.349,3968.0,0.0,0.0,0,1688564518.5466,2023-07-05 15:41:58,Rest
51,0,-41.3,-83.014,-89.268,-106.848,-219.651,-95.648,-86.724,-307.738,30.409,-160.165,-101.41,-24.244,-45.415,-135.042,-233.111,-163.895,-151.034,-93.779,-74.135,-60.645,-34.314,16.748,-73.576,-24.285,-61.615,65.063,-131.575,-63.195,-84.469,-139.157,-346.999,-177.556,3840.0,0.0,0.0,0,1688564518.5545,2023-07-05 15:41:58,Rest
52,0,-40.746,-80.882,-86.105,-108.79,-218.919,-92.478,-84.588,-305.381,29.354,-158.468,-98.235,-26.781,-44.858,-133.882,-231.341,-168.854,-132.953,-99.833,-77.647,-58.535,-35.304,12.633,-71.966,-24.773,-60.017,66.023,-131.444,-64.669,-79.774,-139.531,-347.164,-174.817,4096.0,0.0,0.0,0,1688564518.5623,2023-07-05 15:41:58,Rest
53,0,-46.341,-83.875,-90.117,-111.755,-224.848,-93.923,-87.065,-308.149,29.325,-159.334,-102.235,-31.365,-47.887,-139.896,-231.622,-170.734,-135.381,-105.369,-79.619,-64.112,-38.342,12.62,-77.017,-27.309,-62.518,65.957,-131.825,-66.654,-84.305,-138.366,-348.354,-180.278,3840.0,0.0,0.0,0,1688564518.5702,2023-07-05 15:41:58,Rest
54,0,-50.905,-85.84,-90.539,-109.594,-225.648,-97.415,-88.514,-301.181,31.857,-160.199,-100.596,-29.797,-49.888,-139.243,-228.828,-160.83,-154.713,-102.189,-76.977,-62.511,-34.206,13.12,-74.89,-21.134,-55.796,68.452,-127.594,-61.976,-88.319,-136.691,-348.518,-180.61,3584.0,0.0,0.0,0,1688564518.5781,2023-07-05 15:41:58,Rest
55,0,-46.756,-78.07,-83.276,-105.898,-222.861,-89.633,-84.84,-295.757,34.387,-157.99,-93.835,-27.718,-43.178,-135.006,-221.94,-148.373,-165.83,-96.964,-70.753,-53.227,-27.511,15.156,-68.668,-15.478,-46.518,73.507,-122.856,-58.328,-81.57,-132.456,-345.095,-172.232,3840.0,0.0,0.0,0,1688564518.5859,2023-07-05 15:41:58,Rest
56,0,-44.66,-71.332,-78.582,-104.768,-219.052,-83.908,-80.656,-296.486,35.889,-151.684,-94.766,-25.128,-40.573,-135.895,-219.156,-143.614,-170.274,-95.33,-67.096,-52.661,-27.484,20.264,-68.599,-18.024,-44.935,75.995,-119.147,-57.758,-76.878,-128.737,-335.016,-168.474,3968.0,0.0,0.0,0,1688564518.5938,2023-07-05 15:41:58,Rest
57,0,-50.25,-74.334,-80.553,-108.249,-218.32,-90.996,-82.625,-295.164,35.853,-148.971,-97.745,-23.566,-45.656,-138.833,-221.498,-143.983,-174.203,-96.772,-69.59,-57.219,-30.53,16.145,-70.067,-18.006,-48.476,73.87,-118.003,-58.212,-80.9,-132.195,-331.095,-170.354,3968.0,0.0,0.0,0,1688564518.6016,2023-07-05 15:41:58,Rest
