COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
53,0,-5.785,-3.484,-273.961,-24.791,1.117,-12.764,5.59,-12.547,-5.553,-0.981,2.449,-3.407,-19.552,-4.047,0.519,-26.199,-15.029,-31.015,-15.888,-13.859,-13.866,-14.423,-19.669,-25.07,-6.652,-9.835,-17.439,-13.92,-25.919,-20.051,-22.377,-133.762,3968.0,0.0,0.0,0,1690553915.3648,2023-07-28 16:18:35,Rest
54,0,-9.878,-5.529,-277.273,-24.254,-2.471,-15.825,-3.125,-17.658,-10.158,-1.492,-5.238,-5.965,-19.532,-8.653,-0.506,-31.296,-15.526,-34.57,-24.069,-15.894,-16.414,-15.946,-22.724,-25.045,-8.695,-13.411,-20.496,-16.98,-32.553,-22.592,-26.453,-141.313,3968.0,0.0,0.0,0,1690553915.3727,2023-07-28 16:18:35,Rest
55,0,-6.794,-8.598,-274.946,-25.254,-6.567,-13.76,-1.585,-25.837,-8.611,-2.515,-1.647,-3.91,-17.463,-8.132,0.007,-30.752,-16.535,-31.461,-23.533,-14.854,-17.422,-12.344,-22.189,-28.093,-6.637,-10.836,-20.475,-21.574,-29.959,-22.569,-34.624,-137.585,3968.0,0.0,0.0,0,1690553915.3805,2023-07-28 16:18:35,Rest
56,0,-4.226,-8.077,-277.233,-26.766,-4.511,-13.746,8.151,-18.127,-8.603,-6.099,5.015,-4.418,-20.52,-5.563,5.13,-28.672,-18.568,-24.258,-16.849,-14.839,-16.38,-12.844,-22.679,-24.479,-3.556,-7.239,-14.307,-16.942,-27.88,-21.522,-30.491,-135.911,3968.0,0.0,0.0,0,1690553915.3884,2023-07-28 16:18:35,Rest
57,0,-7.808,-7.044,-278.493,-29.301,-2.457,-15.782,5.581,-20.158,-12.18,-6.093,-1.138,-6.975,-21.524,-11.193,5.125,-31.205,-19.061,-24.746,-19.394,-16.873,-16.364,-14.88,-23.681,-23.942,-2.016,-7.232,-12.243,-15.388,-30.414,-17.402,-23.8,-138.337,3968.0,0.0,0.0,0,1690553915.3962,2023-07-28 16:18:35,Rest
58,0,-3.702,-2.426,-268.48,-26.71,-2.455,-12.18,0.452,-30.896,-6.02,-0.451,0.912,-2.87,-15.355,-10.157,4.095,-28.1,-14.944,-26.258,-17.325,-12.246,-13.786,-10.767,-16.997,-27.505,0.548,-2.614,-13.768,-17.934,-23.723,-13.286,-18.653,-135.124,3968.0,0.0,0.0,0,1690553915.404,2023-07-28 16:18:35,Rest
59,0,1.937,4.236,-258.99,-17.461,2.671,-8.069,8.137,-19.082,0.646,3.136,14.231,2.256,-10.216,-3.487,11.776,-21.924,-12.367,-19.059,-9.623,-4.549,-6.6,-5.633,-11.345,-20.817,5.67,1.999,-10.168,-13.817,-18.064,-12.249,-12.999,-130.891,3968.0,0.0,0.0,0,1690553915.4118,2023-07-28 16:18:35,Rest
60,0,-3.188,-1.404,-260.268,-12.321,4.718,-9.598,12.739,-6.768,-2.429,1.083,13.705,-1.844,-11.231,-4.508,13.813,-22.927,-9.794,-18.016,-11.15,-5.569,-4.032,-4.602,-12.87,-15.673,8.226,1.997,-7.084,-9.705,-21.632,-13.261,-17.597,-128.198,3968.0,0.0,0.0,0,1690553915.4195,2023-07-28 16:18:35,Rest
61,0,-11.381,-10.624,-266.668,-15.382,-4.509,-12.662,5.554,-21.618,-3.963,-3.529,0.371,-8.503,-15.83,-7.577,3.553,-26.49,-10.808,-30.293,-14.213,-9.662,-10.688,-10.233,-16.443,-23.855,3.607,0.459,-13.737,-13.794,-25.709,-17.858,-23.727,-127.045,3968.0,0.0,0.0,0,1690553915.4273,2023-07-28 16:18:35,Rest
62,0,-13.419,-8.051,-266.914,-18.441,-6.553,-14.187,4.012,-24.67,-2.423,-3.525,-3.215,-9.519,-17.864,-7.57,0.476,-30.05,-16.433,-39.484,-13.687,-8.115,-15.288,-14.321,-18.476,-25.88,-1.007,0.458,-17.822,-15.829,-25.683,-21.427,-21.654,-129.992,3968.0,0.0,0.0,0,1690553915.435,2023-07-28 16:18:35,Rest
63,0,-12.893,-4.97,-259.987,-17.91,0.625,-10.586,7.594,-9.788,-2.42,3.138,3.448,-7.972,-13.747,-7.05,7.135,-30.02,-14.367,-38.932,-16.235,-5.033,-9.637,-10.209,-18.458,-20.219,3.605,2.507,-13.193,-12.74,-23.609,-18.844,-20.608,-127.813,3968.0,0.0,0.0,0,1690553915.4428,2023-07-28 16:18:35,Rest
64,0,-12.881,-7.014,-258.702,-17.38,0.112,-7.502,7.586,-13.365,1.168,3.648,5.494,-7.452,-11.684,-2.944,8.153,-24.867,-8.205,-32.233,-15.706,-4.004,-6.554,-5.588,-14.853,-20.711,4.626,3.529,-12.155,-11.702,-21.023,-18.825,-20.075,-120.001,0.0,0.0,164.0,0,1690553915.4505,2023-07-28 16:18:35,Rest
65,0,-14.405,-2.908,-261.517,-17.875,-1.937,-10.056,9.116,-23.598,5.778,1.082,2.414,-7.957,-10.648,-1.917,5.583,-22.28,-9.734,-26.566,-11.079,-2.975,-8.596,-7.631,-10.74,-18.128,-2.039,4.038,-15.729,-10.154,-19.978,-20.855,-16.981,-121.93,0.0,0.0,230.0,0,1690553915.4585,2023-07-28 16:18:35,Rest
66,0,-13.878,1.193,-256.645,-13.759,2.164,-9.534,13.205,-17.426,5.772,7.741,4.461,-5.9,-9.1,-6.525,7.115,-23.283,-10.749,-27.564,-10.556,-1.435,-7.051,-9.673,-11.241,-16.061,-0.5,4.546,-13.664,-8.094,-20.982,-16.736,-17.989,-127.956,0.0,0.0,173.0,0,1690553915.4663,2023-07-28 16:18:35,Rest
67,0,-13.864,-4.956,-259.462,-9.646,-5.523,-8.499,12.167,-17.921,0.643,5.172,5.481,-6.918,-15.751,-7.031,6.595,-26.845,-11.763,-32.147,-14.132,-3.995,-7.044,-9.663,-16.866,-23.217,3.599,1.98,-13.651,-11.16,-24.548,-17.744,-23.094,-130.902,0.0,0.0,228.0,0,1690553915.4742,2023-07-28 16:18:35,Rest
68,0,-21.022,-13.148,-273.547,-18.858,-19.862,-18.737,5.495,-26.612,-8.066,-8.665,-1.696,-16.133,-24.445,-6.512,-0.071,-30.405,-20.972,-34.164,-18.216,-7.065,-14.209,-12.215,-24.021,-29.854,-3.577,-3.657,-21.834,-18.321,-32.72,-30.534,-29.218,-138.455,0.0,0.0,228.0,0,1690553915.482,2023-07-28 16:18:35,Rest
69,0,-25.1,-14.159,-271.737,-29.086,-17.793,-23.329,0.366,-24.537,-10.108,-7.12,-4.256,-17.654,-21.859,-11.116,-2.633,-31.911,-21.464,-33.618,-18.71,-6.033,-15.732,-13.74,-24.509,-27.775,-4.598,-1.605,-20.788,-20.352,-35.761,-34.089,-31.238,-139.854,0.0,0.0,226.0,0,1690553915.4899,2023-07-28 16:18:35,Rest
70,0,-17.39,-8.51,-261.219,-21.884,-9.066,-13.572,4.464,-20.414,-2.925,4.67,2.408,-9.439,-18.251,-10.593,3.005,-30.855,-13.758,-31.023,-13.056,-4.49,-9.056,-11.677,-18.337,-24.673,5.14,3.52,-10.008,-17.258,-29.065,-23.809,-22.498,-128.955,0.0,0.0,225.0,0,1690553915.4977,2023-07-28 16:18:35,Rest
71,0,-15.324,-3.378,-265.056,-12.128,-11.619,-11.509,12.657,-21.93,-1.385,5.69,3.43,-10.967,-20.794,-6.996,5.051,-29.799,-14.256,-32.528,-13.555,-2.949,-6.998,-10.641,-16.782,-23.624,5.135,0.443,-6.412,-16.216,-25.962,-19.687,-16.84,-125.24,0.0,0.0,226.0,0,1690553915.5056,2023-07-28 16:18:35,Rest
72,0,-15.821,-2.35,-268.89,-16.215,-12.119,-15.084,13.157,-18.322,-4.97,1.586,1.89,-14.03,-18.212,-7.501,0.436,-26.696,-14.754,-40.693,-18.665,-1.921,-10.065,-10.63,-18.302,-24.113,1.544,-0.582,-7.943,-15.687,-28.498,-20.692,-21.946,-129.726,0.0,0.0,216.0,0,1690553915.5134,2023-07-28 16:18:35,Rest
73,0,-5.046,1.751,-256.325,-16.711,-1.349,-9.433,12.119,-11.131,0.67,1.072,6.499,-4.282,-11.021,-5.445,2.997,-24.62,-8.08,-39.115,-10.962,0.13,-5.956,-6.521,-13.161,-19.478,7.69,7.103,-2.299,-11.573,-22.322,-13.499,-15.777,-124.473,0.0,0.0,220.0,0,1690553915.5214,2023-07-28 16:18:35,Rest
74,0,2.131,7.897,-244.798,-4.911,9.411,-2.764,18.254,-6.51,10.403,7.731,8.541,1.87,-5.375,3.27,9.141,-21.009,-3.461,-23.707,-1.217,5.765,3.784,2.195,-4.438,-11.262,14.855,14.268,6.924,-5.926,-10.516,-1.702,-1.416,-113.078,0.0,0.0,189.0,0,1690553915.5292,2023-07-28 16:18:35,Rest
